step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,157.604114,56.530577,13.554532000000002,6.089409000000001,18.93863,52.578288,147.691436,155.62189999999998,7.930463999999986,1.9822140000000275
1,157.915981,56.794896,13.639492,6.131682,19.066406000000004,52.880784,148.51326,156.414511,7.901251000000002,1.5014699999999834
2,157.83245300000002,56.796336000000004,13.6753,6.125058,19.04039,52.85713499999999,148.494219,156.432269,7.938050000000004,1.4001840000000243
3,157.78071599999998,56.79912,13.621827999999999,6.126338,19.064678,52.847535,148.459499,156.34628700000002,7.88678800000001,1.434428999999966
4,158.103296,56.801392,13.6313,6.120865,19.05415,52.883119,148.490826,156.46478299999998,7.973956999999984,1.6385130000000174
5,157.843464,56.803249,13.68077,6.126273,19.072485,52.86366400000001,148.54644100000002,156.45764300000002,7.911202000000017,1.3858209999999929
6,157.85497700000002,56.799504,13.661508,6.1139529999999995,19.038438,52.871601000000005,148.485004,156.417197,7.932192999999984,1.437780000000032
7,157.827517,56.799023999999996,13.638276,6.110722,19.03783,52.889966,148.475818,156.463566,7.987747999999982,1.3639510000000143
8,157.821602,56.7972,13.639524000000002,6.109185999999999,19.044005,52.868975,148.45889,156.394892,7.936002000000002,1.4267100000000141
9,158.011824,56.796112,13.657252,6.114626,19.041445,52.878671,148.488106,156.42743900000002,7.939333000000033,1.584384999999969
