step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.356907,0.705567,13.10849
0,2,4.990935,0.658175,5.700693
0,1,16.739010999999998,1.2264300000000001,18.016126
0,0,50.086763,2.798524,52.937862
1,3,12.351211,0.694078,13.093224999999999
1,2,4.989015,0.657567,5.699350000000001
1,1,16.747267,1.22531,18.026305
1,0,50.122057999999996,2.801147,52.977540999999995
2,3,12.327499,0.693406,13.069321
2,2,4.990359000000001,0.657343,5.70031
2,1,16.770435000000003,1.2253420000000002,18.048705
2,0,50.070026,2.797787,52.92195699999999
3,3,12.367595,0.6934389999999999,13.10849
3,2,4.987832,0.6574059999999999,5.6988710000000005
3,1,16.757572,1.223326,18.035074
3,0,50.141163,2.798715,52.994247
4,3,12.341899,0.693631,13.083052
4,2,4.988344,0.657759,5.699799
4,1,16.755907,1.225245,18.034239999999997
4,0,50.120331,2.797947,52.971525
5,3,12.355147,0.694239,13.09745
5,2,4.986711000000001,0.658015,5.698134
5,1,16.754851,1.224254,18.032289
5,0,50.130986,2.799451,52.984933
6,3,12.370859000000001,0.694366,13.112553
6,2,4.9936549999999995,0.6582709999999999,5.704758
6,1,16.748099,1.2265899999999998,18.028225
6,0,50.109738,2.799131,52.962756999999996
7,3,12.360267,0.693759,13.101642
7,2,4.988728,0.6578229999999999,5.7005349999999995
7,1,16.743011,1.224958,18.021665999999996
7,0,50.100713999999996,2.796635,52.951108999999995
8,3,12.334699,0.693087,13.075434000000001
8,2,5.003512,0.65891,5.715286999999999
8,1,16.809187,1.2299179999999998,18.092802000000002
8,0,50.395434,2.8137869999999996,53.263237000000004
9,3,12.420298,0.6976950000000001,13.166665
9,2,5.0237359999999995,0.6610539999999999,5.738071
9,1,16.839011,1.231838,18.125024999999997
9,0,50.425258,2.8120909999999997,53.291845
