step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,interaction_sum_ms,gpu_total_ms,other_gpu_ms,host_gaps_ms
0,175.94222200000002,35.176036,13.10849,5.700693,18.016126,52.937862,124.93920700000001,174.127153,49.18794599999998,1.8150690000000225
1,176.38684,35.177956,13.093224999999999,5.699350000000001,18.026305,52.977540999999995,124.974377,174.146676,49.172299000000024,2.240163999999993
2,174.987846,35.177892,13.069321,5.70031,18.048705,52.92195699999999,124.918185,174.12443599999997,49.206250999999966,0.863410000000016
3,175.45483,35.17514,13.10849,5.6988710000000005,18.035074,52.994247,125.011822,174.19999900000002,49.188177000000024,1.2548309999999674
4,175.242266,35.180035000000004,13.083052,5.699799,18.034239999999997,52.971525,124.968651,174.15870900000002,49.19005800000002,1.0835569999999848
5,174.861426,35.181667999999995,13.09745,5.698134,18.032289,52.984933,124.994474,174.119892,49.125417999999996,0.7415340000000015
6,175.007634,35.181348,13.112553,5.704758,18.028225,52.962756999999996,124.98964099999999,174.24933299999998,49.25969199999997,0.7583010000000172
7,174.985019,35.179300000000005,13.101642,5.7005349999999995,18.021665999999996,52.951108999999995,124.954252,174.200019,49.245767,0.7849999999999966
8,176.020048,35.422499,13.075434000000001,5.715286999999999,18.092802000000002,53.263237000000004,125.569259,174.818038,49.248778999999985,1.2020100000000014
9,176.050775,35.427748,13.166665,5.738071,18.125024999999997,53.291845,125.74935400000001,175.101842,49.352487999999994,0.9489329999999825
