step,plane,m2l_count_ms,insert_ms,total_ms
0,3,12.088664000000001,0.6399020000000001,12.774134
0,2,4.780657,0.637854,5.469456
0,1,16.423305,1.167516,17.641830000000002
0,0,46.614470000000004,2.607831,49.274205
1,3,12.076792,0.642174,12.766485
1,2,4.7919849999999995,0.638429,5.483435999999999
1,1,16.40817,1.167581,17.628006999999997
1,0,46.604869,2.608695,49.266939
2,3,12.1046,0.64195,12.794678
2,2,4.787088,0.637885,5.478797999999999
2,1,16.41345,1.168412,17.634854
2,0,46.609189,2.6085990000000003,49.272316
3,3,12.070647999999998,0.641694,12.760245
3,2,4.7885919999999995,0.6372140000000001,5.479598
3,1,16.416202000000002,1.16822,17.637382000000002
3,0,46.585542000000004,2.605208,49.24499
4,3,12.100599,0.64179,12.789943
4,2,4.795153,0.637822,5.485805
4,1,16.400426,1.169564,17.623397
4,0,46.645221,2.605655,49.304573
5,3,12.07372,0.6422380000000001,12.764021999999999
5,2,4.78584,0.63747,5.47579
5,1,16.402601999999998,1.167965,17.624005999999998
5,0,46.596069,2.604887,49.25542000000001
6,3,12.044664000000001,0.64083,12.733078
6,2,4.79208,0.637886,5.482094
6,1,16.406729,1.167452,17.627043999999998
6,0,46.604582,2.604855,49.263997
7,3,12.110775,0.643006,12.800726
7,2,4.784783999999999,0.6371180000000001,5.4755
7,1,16.410826,1.168828,17.633190000000003
7,0,46.645542,2.606455,49.305404
8,3,12.139736000000001,0.64339,12.830678
8,2,4.7876,0.637374,5.478190000000001
8,1,16.422249,1.169628,17.645477
8,0,46.600902000000005,2.606583,49.26178900000001
9,3,12.11228,0.642301,12.802293000000002
9,2,4.792592,0.637374,5.483054
9,1,16.423209999999997,1.168412,17.644582
9,0,46.623877,2.60764,49.285853
