step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,other_gpu_ms,host_gaps_ms
0,193.257563,56.291623,12.938236999999999,5.5230250000000005,17.795983,49.70863299999999,49.14322600000001,1.8568360000000155
1,193.915548,56.292231,15.782005000000002,6.6848469999999995,19.172461,52.14565,41.43294800000001,2.4054059999999993
2,192.23542,56.294407,15.788277,6.66507,19.13742,52.14693,41.437422999999995,0.7658930000000055
3,192.401183,56.289894999999994,15.727894000000001,6.678094,19.182890000000004,52.166962999999996,41.41924799999998,0.9361990000000162
4,192.32085899999998,56.288903,15.79599,6.672686,19.188426,52.172112999999996,41.41640199999999,0.7863389999999981
5,192.489441,56.285895,15.795126,6.678094,19.172459000000003,52.15813000000001,41.42005099999999,0.9796859999999867
6,192.319729,56.291207,15.736597,6.678382,19.186348000000002,52.150800000000004,41.44133100000002,0.8350639999999885
7,192.595069,56.291495000000005,15.812948999999998,6.6778379999999995,19.1891,52.198739,41.43777800000001,0.9871699999999919
8,192.327531,56.291271,15.718905000000001,6.675502000000001,19.180332,52.140305999999995,41.460238000000004,0.8609769999999912
9,192.538544,56.290759,15.720536,6.692462000000001,19.165228,52.19781,41.458703,1.0130460000000028
