step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,other_gpu_ms,host_gaps_ms
0,191.46634,55.662152,12.774134,5.469456,17.641830000000002,49.274205,48.801244999999994,1.8433180000000107
1,192.081112,55.664584000000005,15.604811999999999,6.623625,18.959169,51.664564,41.18757899999997,2.376778999999999
2,190.63549700000002,55.6634,15.599341,6.6117550000000005,18.994850000000003,51.662259,41.190972,0.9129200000000139
3,190.592396,55.666951999999995,15.594473,6.618378,19.001185,51.650678,41.18159400000002,0.8791359999999884
4,190.512044,55.670952,15.608238,6.625833000000001,18.980641,51.706837,41.17083600000001,0.748706999999996
5,190.5952,55.665224,15.586412999999999,6.615082,19.001504999999998,51.658292,41.223027999999985,0.8456560000000195
6,190.495192,55.666919,15.572910000000002,6.622826,18.976895,51.659061,41.18578599999998,0.810795000000013
7,190.633373,55.668519999999994,15.638860000000001,6.609449,19.006497,51.710293,41.16459300000001,0.8351609999999994
8,190.69806599999998,55.664103000000004,15.665676000000001,6.620010000000001,18.976544999999998,51.650741000000004,41.17259099999998,0.9483999999999924
9,190.835046,55.667496,15.619948,6.616969999999999,19.002785,51.692949,41.17238299999998,1.062515000000019
