step,plane,m2l_count_ms,insert_ms,total_ms
0,3,11.986965,0.637436,12.669969000000002
0,2,4.765986,0.636413,5.453758
0,1,16.326425999999998,1.165465,17.542545999999998
0,0,46.374941,2.597808,49.024620999999996
1,3,12.014357,0.637404,15.534334000000001
1,2,4.762371,0.6364120000000001,6.585688
1,1,16.329530000000002,1.1641210000000002,18.892872
1,0,46.395389,2.5968470000000003,51.448605
2,3,12.065396,0.6383,15.586943000000002
2,2,4.759938,0.63622,6.579031
2,1,16.304282,1.164377,18.856233
2,0,46.355166,2.595952,51.408798
3,3,12.044468,0.6387160000000001,15.557055
3,2,4.756354,0.635772,6.582743000000001
3,1,16.320282,1.1638009999999999,18.902732
3,0,46.355998,2.59416,51.409597999999995
4,3,12.058965,0.638556,15.556735
4,2,4.770722,0.637084,6.597942999999999
4,1,16.348122,1.164793,18.943916
4,0,46.393566,2.59848,51.441917000000004
5,3,12.025589,0.638396,15.539839
5,2,4.764322,0.6365080000000001,6.590007000000001
5,1,16.320793,1.1658810000000002,18.886089
5,0,46.367549,2.595183,51.429341
6,3,12.031765,0.638524,15.551264
6,2,4.771715,0.637116,6.597751000000001
6,1,16.331673000000002,1.163609,18.90209
6,0,46.353629,2.601391,51.397053
7,3,12.010901,0.636668,15.534047000000001
7,2,4.768898,0.6359640000000001,6.585528
7,1,16.325402,1.1640570000000001,18.887276
7,0,46.378045,2.596239,51.40963
8,3,12.051637000000001,0.63798,15.564255000000001
8,2,4.769378,0.63702,6.595861
8,1,16.346713,1.165497,18.914059
8,0,46.382109,2.596976,51.44054199999999
9,3,12.025268,0.6389729999999999,15.52694
9,2,4.761154,0.636124,6.5870940000000004
9,1,16.31801,1.1643130000000002,18.884138
9,0,46.390909,2.599408,51.414366
