step,profiled_wall_ms,leaf_leaf_ms,plane_3_ms,plane_2_ms,plane_1_ms,plane_0_ms,other_gpu_ms,host_gaps_ms
0,191.11411900000002,55.459812,12.669969000000002,5.453758,17.542545999999998,49.024620999999996,48.724778,2.2386350000000164
1,191.432141,55.461636,15.534334000000001,6.585688,18.892872,51.448605,41.09507300000001,2.413932999999986
2,189.735955,55.464005,15.586943000000002,6.579031,18.856233,51.408798,41.06163599999999,0.7793089999999836
3,190.009613,55.465605000000004,15.557055,6.582743000000001,18.902732,51.409597999999995,41.082046999999974,1.0098330000000146
4,189.88866399999998,55.463748,15.556735,6.597942999999999,18.943916,51.441917000000004,41.12732199999999,0.757082999999966
5,190.038567,55.464196,15.539839,6.590007000000001,18.886089,51.429341,41.108637000000016,1.0204579999999908
6,189.797542,55.468324,15.551264,6.597751000000001,18.90209,51.397053,41.069309000000004,0.8117509999999868
7,190.010624,55.455844,15.534047000000001,6.585528,18.887276,51.40963,41.06336099999996,1.0749380000000315
8,190.318918,55.466339999999995,15.564255000000001,6.595861,18.914059,51.44054199999999,41.098848000000004,1.239013
9,189.73786900000002,55.463012,15.52694,6.5870940000000004,18.884138,51.414366,41.102974,0.7593450000000246
