case,method,theta,h,t,phase_rms,phase_median,local_phase_rms,phase_p90,phase_p99,mass_profile_max_abs,energy_relative,com_drift,L_drift,runtime_to_output_s,total_runtime_s
KDK_theta0.5_d128,KDK,0.5,0.0078125,0.25,4.5147552085372806e-05,5.189817458781432e-06,3.420959997194975e-05,4.395158407188367e-05,0.0002442002870909507,0.0,2.777034088952705e-07,1.7538137785482675e-08,2.5683095795340283e-08,1.0754655720083974,25.638437825022265
KDK_theta0.5_d128,KDK,0.5,0.0078125,1.0,0.00014551193449331796,1.4552444000938228e-05,9.454591819303282e-05,9.02774607430023e-05,0.0007268910512681503,1.0000000000010001e-05,3.556219381200667e-07,7.042322862693386e-08,7.22128747449991e-08,4.28425997600425,25.638437825022265
KDK_theta0.5_d128,KDK,0.5,0.0078125,2.0,0.00025902567624399886,2.904473366590469e-05,0.00019079650984260777,0.00014659353440857727,0.0012488158324355345,1.0000000000065512e-05,1.8676238724543525e-07,7.008643456931919e-08,1.3921561677211723e-07,8.562001492013223,25.638437825022265
KDK_theta0.5_d128,KDK,0.5,0.0078125,4.0,0.0004398838756643694,6.661337766444905e-05,0.0004101787457816543,0.00030073023344051483,0.001848649875933936,1.0000000000003062e-05,-1.9091615656193507e-07,7.960204915422468e-08,3.057514656615376e-07,17.092736743041314,25.638437825022265
KDK_theta0.5_d128,KDK,0.5,0.0078125,6.0,0.000622886701180544,0.00011852364203206075,0.00079019723787428,0.0005110817870675053,0.0024256942481943318,3.0000000000000512e-05,-9.279416717860178e-07,5.146755277019164e-08,2.422832889423132e-07,25.638437825022265,25.638437825022265
KDK_theta0.5_d16,KDK,0.5,0.0625,0.25,0.0018096675249018122,3.708277274470276e-05,0.002968906375276895,0.0023088230883951664,0.007998968917167035,8.99999999999998e-05,2.0071145428675756e-05,2.1335403329176774e-09,2.9767319550869313e-08,0.13607136299833655,3.2113845339627005
KDK_theta0.5_d16,KDK,0.5,0.0625,1.0,0.0035726385420336514,9.683943442751917e-05,0.008263025244864929,0.004809803880736246,0.01591154981372407,0.00024000000000000063,6.716362777044103e-05,7.232914978065267e-09,7.718191660804789e-08,0.5377827520132996,3.2113845339627005
KDK_theta0.5_d16,KDK,0.5,0.0625,2.0,0.006730814039791003,0.00025072397040262935,0.017230654182245814,0.008465533077998272,0.028719927235541846,0.0003999999999999976,0.00010943612146298992,1.7390071392304344e-08,1.4451532737517047e-07,1.074288730043918,3.2113845339627005
KDK_theta0.5_d16,KDK,0.5,0.0625,4.0,0.016663340216226733,0.0009557655683928269,0.04071231695460928,0.018714856869696546,0.0744300370557142,0.0002600000000000033,0.0001885791053615933,5.636827736948442e-08,3.3290173447942405e-07,2.140815716003999,3.2113845339627005
KDK_theta0.5_d16,KDK,0.5,0.0625,6.0,0.03240821340522328,0.002371890445137537,0.07587133637511376,0.03539784059204202,0.1441270070442136,0.0004099999999999937,0.0002547902145490429,1.2131244243182495e-07,2.6588673601441536e-07,3.2113845339627005,3.2113845339627005
KDK_theta0.5_d256,KDK,0.5,0.00390625,0.25,4.823604640996907e-05,3.981267939013609e-06,1.5758647948921843e-05,2.8498212713834286e-05,0.00025165455602321654,0.0,1.0407437241057787e-07,4.1911099742022334e-08,2.907721155865417e-08,2.1494421489769593,51.27672626799904
KDK_theta0.5_d256,KDK,0.5,0.00390625,1.0,0.00016461921931809734,1.2537631242998362e-05,4.6616755726679575e-05,6.472642441690213e-05,0.0009765629704658384,1.0000000000010001e-05,3.205562468471376e-07,2.0811109270557873e-07,8.014648603511695e-08,8.56649712199578,51.27672626799904
